#6-pulse DQC,,,,,,,,,,
#Step,Phi_1,Phi_2,Phi_3,Phi_4,Phi_5,Phi_6,Phi_a,Phi_b,Phi_c,Phi_d
240,180,180,180,180,0,270,180,180,180,180
241,270,270,270,270,180,270,180,180,180,180
242,0,0,0,270,180,270,0,0,0,0
243,90,90,90,270,180,270,180,180,180,180
244,180,180,180,270,180,270,0,0,0,0
245,270,270,270,0,180,270,180,180,180,180
246,0,0,0,0,180,270,0,0,0,0
247,90,90,90,0,180,270,180,180,180,180
248,180,180,180,0,180,270,0,0,0,0
249,270,270,270,90,180,270,180,180,180,180
250,0,0,0,90,180,270,0,0,0,0
251,90,90,90,90,180,270,180,180,180,180
252,180,180,180,90,180,270,0,0,0,0
253,270,270,270,180,180,270,180,180,180,180
254,0,0,0,180,180,270,0,0,0,0
255,90,90,90,180,180,270,180,180,180,180
256,180,180,180,180,180,270,0,0,0,0
